Product ID,Product Name,Category,Subcategory,Description,Unit Price,Quantity in Stock,Manufacturer,Material,Size/Dimensions,Color,Image URL,Installation Time (Estimated),Warranty Information
PD-1028,Steel Fire Door,Hardware,Overhead,Crime mouth reveal culture early. Boy early news modern.,2906.72,153,ASSA ABLOY,Wood,"36"" x 80""",White,https://picsum.photos/731/362,80 minutes,3 years
PD-1029,Panic Bar,Hardware,Sliding,Either future and page agent amount available no.,1151.39,53,ASSA ABLOY,Wood,"40"" x 90""",White,https://dummyimage.com/985x75,54 minutes,3 years
PD-1030,Hydraulic Door Closer,Hardware,Sliding,Along probably let mother animal. People weight my role clearly.,518.63,111,ASSA ABLOY,Glass,"40"" x 90""",Silver,https://placekitten.com/687/645,82 minutes,2 years
PD-1031,Weather Stripping,Frame,Overhead,New theory expect race toward image. Law north well very note.,1112.89,105,ASSA ABLOY,Aluminum,"10' x 12""",White,https://placekitten.com/789/348,120 minutes,2 years
PD-1032,Weather Stripping,Frame,Sliding,Somebody white include walk forget. Speak whose amount like bit hospital including.,927.89,94,ASSA ABLOY,Steel,"36"" x 80""",White,https://placekitten.com/840/763,178 minutes,3 years
PD-1033,Weather Stripping,Frame,Overhead,"Sense wind eight either. Meeting major oil that.
At stop blood yard. No response song describe.",2629.89,171,Dormakaba,Wood,"10' x 12""",White,https://placekitten.com/482/886,50 minutes,2 years
PD-1034,Panic Bar,Installation,Fire Rated,Opportunity feel alone to west value join. Whom level during serious reason financial impact.,1112.11,19,ASSA ABLOY,Glass,"10' x 12""",White,https://placekitten.com/880/1,82 minutes,2 years
PD-1035,Steel Fire Door,Door,Overhead,Physical over ground interesting policy. Own one beyond. Recent process law project major.,1975.05,6,ASSA ABLOY,Aluminum,"36"" x 80""",Silver,https://dummyimage.com/104x105,73 minutes,3 years
PD-1036,Weather Stripping,Door,Commercial,You meet send individual loss get probably tax. Leave might material every college of.,886.47,22,ASSA ABLOY,Glass,"10' x 12""",White,https://placekitten.com/395/898,114 minutes,3 years
PD-1037,Aluminum Frame,Hardware,Commercial,Light while standard significant water these report. Air card their item hundred.,1483.64,143,ASSA ABLOY,Steel,"36"" x 80""",Silver,https://placekitten.com/302/53,171 minutes,2 years
PD-1038,Panic Bar,Door,Fire Rated,Certain history you same. Financial bank if.,2196.61,91,Dormakaba,Aluminum,"40"" x 90""",Silver,https://placekitten.com/362/617,129 minutes,2 years
PD-1039,Steel Fire Door,Hardware,Sliding,Manage news note series character deal keep move. Son political recent page whose.,1044.6,37,Dormakaba,Aluminum,"36"" x 80""",Silver,https://placekitten.com/721/474,142 minutes,5 years
PD-1040,Steel Fire Door,Installation,Commercial,Few lot according if rich follow.,755.43,111,ASSA ABLOY,Steel,"40"" x 90""",White,https://dummyimage.com/955x134,108 minutes,3 years
PD-1041,Steel Fire Door,Frame,Sliding,Why girl myself man care produce wait.,1992.55,51,Dormakaba,Steel,"10' x 12""",Silver,https://picsum.photos/948/913,162 minutes,4 years
PD-1042,Hydraulic Door Closer,Installation,Overhead,Future say late discover ten. Drug score lot word mission interesting able.,241.68,29,ASSA ABLOY,Steel,"10' x 12""",White,https://dummyimage.com/68x286,113 minutes,1 years
PD-1043,Weather Stripping,Installation,Fire Rated,Seek light our miss large. About down whom city staff station him.,1423.16,32,Dormakaba,Glass,"40"" x 90""",White,https://picsum.photos/447/194,143 minutes,4 years
PD-1044,Aluminum Frame,Door,Overhead,Management yes analysis police model hot civil blood. Ability he sense. Man offer return candidate.,318.6,92,ASSA ABLOY,Glass,"36"" x 80""",Black,https://dummyimage.com/317x508,36 minutes,3 years
PD-1045,Panic Bar,Door,Overhead,Customer lose carry second. Lead news week successful. Pattern change keep focus.,650.58,136,ASSA ABLOY,Wood,"10' x 12""",White,https://placekitten.com/473/100,30 minutes,2 years
PD-1046,Panic Bar,Installation,Overhead,Person off hotel personal board.,555.4,48,Dormakaba,Glass,"40"" x 90""",White,https://placekitten.com/915/662,43 minutes,1 years
PD-1047,Weather Stripping,Accessory,Fire Rated,Above husband exactly main. Boy media character yard economy order.,856.39,123,Dormakaba,Glass,"36"" x 80""",White,https://placekitten.com/190/760,93 minutes,5 years
PD-1048,Weather Stripping,Accessory,Fire Rated,Sign TV us look guess weight might. People letter economy. Explain growth end.,1373.92,17,Dormakaba,Aluminum,"10' x 12""",White,https://picsum.photos/326/175,179 minutes,3 years
PD-1049,Aluminum Frame,Accessory,Overhead,Again make into full alone event letter. Through building federal summer from attention think.,2994.63,69,Dormakaba,Aluminum,"10' x 12""",Black,https://dummyimage.com/506x712,44 minutes,5 years
PD-1050,Weather Stripping,Accessory,Overhead,Support individual better much type. Same couple with bag culture fight purpose.,1754.21,194,Dormakaba,Aluminum,"40"" x 90""",White,https://dummyimage.com/781x112,135 minutes,2 years
PD-1051,Panic Bar,Hardware,Commercial,Test former reveal represent writer sense. Drive offer very entire. Increase already politics.,2520.14,21,Dormakaba,Steel,"10' x 12""",Silver,https://picsum.photos/745/948,96 minutes,1 years
PD-1052,Weather Stripping,Accessory,Sliding,Kind accept option by computer concern political act. Lot nor someone green either a.,1944.84,89,ASSA ABLOY,Aluminum,"10' x 12""",White,https://dummyimage.com/146x438,179 minutes,5 years
PD-1053,Weather Stripping,Frame,Commercial,Without national little class under set station. Personal air white consumer hard board.,1144.08,119,ASSA ABLOY,Steel,"40"" x 90""",White,https://dummyimage.com/805x867,148 minutes,2 years
PD-1054,Panic Bar,Installation,Sliding,Color people fish develop significant red. Case ask religious fire detail.,800.19,122,Dormakaba,Glass,"36"" x 80""",Black,https://picsum.photos/438/814,148 minutes,1 years
PD-1055,Steel Fire Door,Door,Sliding,Same again visit skin. Professional threat again learn meet.,1829.48,29,ASSA ABLOY,Glass,"40"" x 90""",Black,https://dummyimage.com/912x323,172 minutes,5 years
PD-1056,Weather Stripping,Installation,Commercial,Painting word record. Option change sign especially present blue.,1771.53,79,ASSA ABLOY,Wood,"10' x 12""",Black,https://picsum.photos/450/204,155 minutes,3 years
PD-1057,Weather Stripping,Accessory,Commercial,Week wide enter animal evening production pressure. Speech although almost.,2991.7,54,Dormakaba,Wood,"10' x 12""",Silver,https://dummyimage.com/608x584,152 minutes,3 years
PD-1058,Steel Fire Door,Frame,Fire Rated,Body major improve general. Together most nearly benefit machine answer become.,1761.37,167,Dormakaba,Steel,"36"" x 80""",White,https://dummyimage.com/45x556,90 minutes,1 years
PD-1059,Aluminum Frame,Hardware,Overhead,You PM system central. Dark image line necessary back.,2093.39,90,Dormakaba,Wood,"36"" x 80""",White,https://dummyimage.com/828x1,115 minutes,1 years
PD-1060,Panic Bar,Installation,Fire Rated,Capital benefit there project. Training try itself anyone year.,158.6,56,Dormakaba,Aluminum,"40"" x 90""",White,https://dummyimage.com/23x344,81 minutes,3 years
PD-1061,Hydraulic Door Closer,Frame,Sliding,Agent almost large avoid religious against difference thing. Entire return policy seem.,2264.59,21,ASSA ABLOY,Steel,"10' x 12""",White,https://dummyimage.com/375x765,133 minutes,1 years
PD-1062,Aluminum Frame,Frame,Sliding,Plan clearly down whole conference through rise. Agreement approach apply society door reason.,714.62,177,ASSA ABLOY,Wood,"36"" x 80""",Black,https://dummyimage.com/907x973,128 minutes,4 years
PD-1063,Weather Stripping,Frame,Fire Rated,Million study trial strategy data difference. Word few heart break right culture onto your.,1943.17,76,Dormakaba,Aluminum,"36"" x 80""",Black,https://picsum.photos/584/17,115 minutes,4 years
PD-1064,Panic Bar,Installation,Fire Rated,Keep theory friend agency. So set travel like continue provide. City officer mention organization.,1473.74,40,ASSA ABLOY,Wood,"36"" x 80""",Black,https://dummyimage.com/813x132,51 minutes,1 years
PD-1065,Weather Stripping,Door,Fire Rated,News whatever network and. Pull whom public. Lot also under.,1570.91,141,ASSA ABLOY,Glass,"40"" x 90""",White,https://placekitten.com/479/293,57 minutes,3 years
PD-1066,Hydraulic Door Closer,Hardware,Overhead,Treat cup technology system decide to. Learn study particular skill Mr.,2609.91,52,ASSA ABLOY,Aluminum,"10' x 12""",Silver,https://placekitten.com/829/231,113 minutes,2 years
PD-1067,Panic Bar,Frame,Overhead,Know friend much bar direction exactly race clear.,2790.86,91,ASSA ABLOY,Steel,"10' x 12""",White,https://dummyimage.com/660x488,37 minutes,4 years
PD-1068,Panic Bar,Door,Commercial,Poor trip back last. Ok new scene dog continue design. Much authority task same produce.,2248.23,159,Dormakaba,Wood,"10' x 12""",Silver,https://dummyimage.com/426x38,104 minutes,2 years
PD-1069,Weather Stripping,Installation,Overhead,Red tend we surface figure him feeling. Idea wife consumer among time responsibility may.,1744.54,109,Dormakaba,Steel,"40"" x 90""",Silver,https://dummyimage.com/595x428,92 minutes,5 years
PD-1070,Hydraulic Door Closer,Hardware,Sliding,Yes miss improve responsibility. Size wind establish machine human peace enough.,2122.06,43,Dormakaba,Steel,"10' x 12""",Silver,https://placekitten.com/724/723,98 minutes,3 years
PD-1071,Hydraulic Door Closer,Hardware,Overhead,Age chance treat be grow. Speak parent hard safe somebody.,1974.27,176,Dormakaba,Steel,"40"" x 90""",White,https://picsum.photos/129/502,132 minutes,3 years
PD-1072,Steel Fire Door,Installation,Commercial,Edge reach say military fill Mr.,2514.69,179,ASSA ABLOY,Steel,"36"" x 80""",White,https://picsum.photos/285/888,101 minutes,2 years
PD-1073,Weather Stripping,Door,Sliding,Whole scientist less budget pattern indeed change general. True enter on full.,2770.83,170,Dormakaba,Wood,"10' x 12""",White,https://picsum.photos/438/318,71 minutes,5 years
PD-1074,Hydraulic Door Closer,Door,Sliding,Include or perhaps pressure road answer couple when. Attack very chance land them even pretty so.,2469.15,90,Dormakaba,Steel,"40"" x 90""",White,https://picsum.photos/285/512,32 minutes,3 years
PD-1075,Steel Fire Door,Door,Fire Rated,But life my service let why threat. Character become few walk left red area her.,1960.43,185,ASSA ABLOY,Wood,"10' x 12""",Black,https://picsum.photos/985/668,164 minutes,5 years
PD-1076,Weather Stripping,Frame,Fire Rated,Fly ten whom style military. Cover nearly yes travel manage accept.,1152.07,180,ASSA ABLOY,Steel,"40"" x 90""",Black,https://picsum.photos/997/318,88 minutes,1 years
PD-1077,Panic Bar,Frame,Commercial,Yes likely shoulder unit different fact vote. Community last situation perform final final old.,2371.36,83,ASSA ABLOY,Glass,"36"" x 80""",Black,https://placekitten.com/912/732,164 minutes,4 years
PD-1078,Aluminum Frame,Accessory,Overhead,For sport share popular natural. Recently toward together common development gas share pass.,2793.75,161,ASSA ABLOY,Glass,"40"" x 90""",Black,https://placekitten.com/929/84,140 minutes,1 years
PD-1079,Steel Fire Door,Installation,Commercial,Seek so nation simple able indeed production. Cup wind course positive consumer.,2497.11,178,ASSA ABLOY,Glass,"40"" x 90""",Silver,https://picsum.photos/315/20,113 minutes,5 years
PD-1080,Steel Fire Door,Door,Sliding,Forward different apply. Actually though beat investment always important smile.,638.92,75,Dormakaba,Aluminum,"10' x 12""",Silver,https://picsum.photos/767/264,67 minutes,5 years
PD-1081,Weather Stripping,Frame,Fire Rated,Pass still painting speech truth lead serious. True may town wear.,2988.46,72,Dormakaba,Glass,"10' x 12""",Black,https://dummyimage.com/157x909,79 minutes,2 years
PD-1082,Steel Fire Door,Door,Sliding,Computer resource loss worry. Coach approach what leg start letter treatment.,1784.08,155,ASSA ABLOY,Steel,"10' x 12""",White,https://picsum.photos/486/93,162 minutes,2 years
PD-1083,Weather Stripping,Accessory,Sliding,Fall follow majority. Quite notice decide perform.,1662.42,78,ASSA ABLOY,Glass,"10' x 12""",White,https://placekitten.com/882/278,37 minutes,1 years
PD-1084,Steel Fire Door,Installation,Fire Rated,"She exist city decade physical.
Must after over.",2461.32,30,ASSA ABLOY,Glass,"10' x 12""",Black,https://placekitten.com/1004/814,86 minutes,4 years
PD-1085,Aluminum Frame,Accessory,Overhead,Yeah threat the get continue. Member than individual make two.,735.3,187,Dormakaba,Steel,"10' x 12""",Black,https://dummyimage.com/603x915,146 minutes,5 years
PD-1086,Panic Bar,Door,Fire Rated,Begin administration to exist environment thing. Scene half near say rock yourself team.,1320.45,18,Dormakaba,Aluminum,"36"" x 80""",Silver,https://picsum.photos/613/665,177 minutes,4 years
PD-1087,Weather Stripping,Accessory,Commercial,Strong describe bad another paper fear big evidence.,525.71,165,ASSA ABLOY,Wood,"10' x 12""",White,https://dummyimage.com/980x167,150 minutes,1 years
PD-1088,Hydraulic Door Closer,Accessory,Commercial,Month bag training positive drug bad reach. Treat say available country.,1630.84,180,Dormakaba,Glass,"40"" x 90""",Silver,https://dummyimage.com/703x435,118 minutes,3 years
PD-1089,Aluminum Frame,Frame,Fire Rated,In not understand soldier available. Who certainly yes bar next.,1510.48,166,Dormakaba,Wood,"36"" x 80""",Black,https://placekitten.com/202/15,169 minutes,5 years
PD-1090,Steel Fire Door,Accessory,Fire Rated,Despite kitchen few run finally late work.,805.31,120,Dormakaba,Steel,"36"" x 80""",Black,https://picsum.photos/315/126,135 minutes,1 years
PD-1091,Weather Stripping,Frame,Fire Rated,As full possible could store behavior.,526.65,71,ASSA ABLOY,Steel,"10' x 12""",Silver,https://placekitten.com/840/982,119 minutes,4 years
PD-1092,Weather Stripping,Accessory,Fire Rated,End various cost day walk. Lay hope sell big.,192.36,194,Dormakaba,Steel,"10' x 12""",Silver,https://dummyimage.com/640x527,32 minutes,4 years
PD-1093,Panic Bar,Installation,Commercial,Candidate body change economy. Past different show music.,1761.82,57,ASSA ABLOY,Glass,"10' x 12""",Silver,https://dummyimage.com/925x920,179 minutes,1 years
PD-1094,Steel Fire Door,Frame,Overhead,Why this spend effort so sense response identify. Visit scientist land professional.,1306.25,189,Dormakaba,Wood,"36"" x 80""",Silver,https://placekitten.com/564/1023,75 minutes,1 years
PD-1095,Weather Stripping,Hardware,Overhead,Form agreement debate take.,1427.97,124,ASSA ABLOY,Aluminum,"36"" x 80""",Silver,https://placekitten.com/359/313,112 minutes,4 years
PD-1096,Steel Fire Door,Frame,Commercial,Defense hand should give yes. Son scientist early doctor service cost.,2588.69,94,Dormakaba,Steel,"36"" x 80""",Black,https://dummyimage.com/986x445,80 minutes,3 years
PD-1097,Panic Bar,Hardware,Overhead,"Create might spend begin but may capital.
Management win at seat space. Development staff act now.",2326.46,94,Dormakaba,Glass,"36"" x 80""",Silver,https://picsum.photos/203/688,127 minutes,5 years
PD-1098,Hydraulic Door Closer,Hardware,Fire Rated,Agreement back case include sit civil. Money perhaps box should lawyer.,2646.47,104,ASSA ABLOY,Aluminum,"10' x 12""",Black,https://picsum.photos/869/772,30 minutes,2 years
PD-1099,Aluminum Frame,Accessory,Commercial,Reality describe member kid practice red word my. Treatment federal chance member most reveal.,2462.87,55,ASSA ABLOY,Steel,"40"" x 90""",Silver,https://dummyimage.com/795x1007,144 minutes,2 years
PD-1100,Aluminum Frame,Hardware,Overhead,Cold base speech company space. Technology program number nor range wish. Radio future whether.,1744.75,196,Dormakaba,Steel,"36"" x 80""",White,https://picsum.photos/858/907,109 minutes,5 years
PD-1101,Hydraulic Door Closer,Installation,Commercial,Economy positive very tough water trial. Agree film down. Meet manage ask try measure bring.,766.26,114,ASSA ABLOY,Steel,"10' x 12""",Silver,https://picsum.photos/18/872,145 minutes,1 years
PD-1102,Panic Bar,Installation,Commercial,Look while wear music. Glass assume arrive fact cost answer money exactly.,2468.14,66,ASSA ABLOY,Wood,"40"" x 90""",White,https://dummyimage.com/586x222,119 minutes,5 years
PD-1103,Steel Fire Door,Accessory,Fire Rated,Light environmental edge defense view call building. Image different home.,1478.56,11,ASSA ABLOY,Wood,"40"" x 90""",White,https://picsum.photos/1011/147,101 minutes,2 years
PD-1104,Aluminum Frame,Hardware,Sliding,Hold quickly air catch media present. Lose beat season spring child nothing education.,2572.14,115,Dormakaba,Steel,"10' x 12""",White,https://dummyimage.com/867x146,155 minutes,2 years
PD-1105,Panic Bar,Hardware,Sliding,Space police more everyone long summer.,259.28,176,Dormakaba,Aluminum,"36"" x 80""",White,https://dummyimage.com/839x990,67 minutes,3 years
PD-1106,Steel Fire Door,Frame,Commercial,Fear past personal. Reflect take exist medical around. Information fast say.,1922.21,57,Dormakaba,Glass,"10' x 12""",Silver,https://placekitten.com/695/819,130 minutes,2 years
PD-1107,Steel Fire Door,Accessory,Fire Rated,Yet husband address find. Paper large interest fear. Throw eat view sit agree.,2872.08,27,Dormakaba,Aluminum,"36"" x 80""",White,https://placekitten.com/237/257,40 minutes,3 years
PD-1108,Steel Fire Door,Door,Fire Rated,Brother me much every walk. Describe be prove significant economy involve boy.,342.37,150,Dormakaba,Aluminum,"10' x 12""",Silver,https://dummyimage.com/705x610,35 minutes,2 years
PD-1109,Hydraulic Door Closer,Accessory,Overhead,Minute share party wrong parent whether Republican.,2693.81,74,Dormakaba,Glass,"36"" x 80""",Black,https://dummyimage.com/159x270,56 minutes,1 years
PD-1110,Hydraulic Door Closer,Hardware,Fire Rated,Plan need pass politics old. Walk also wrong book enjoy.,1896.62,29,Dormakaba,Aluminum,"36"" x 80""",Silver,https://placekitten.com/137/181,141 minutes,3 years
PD-1111,Hydraulic Door Closer,Hardware,Overhead,Analysis play off. Share cell design federal technology. Leave example low page necessary protect.,2419.83,185,Dormakaba,Glass,"10' x 12""",Black,https://dummyimage.com/921x316,57 minutes,1 years
PD-1112,Hydraulic Door Closer,Frame,Fire Rated,Rate consumer baby dream against from. Benefit action add develop series.,654.13,139,Dormakaba,Steel,"36"" x 80""",White,https://picsum.photos/204/133,129 minutes,5 years
PD-1113,Aluminum Frame,Door,Sliding,Nation role direction exactly experience. Coach might ability would.,2274.23,158,Dormakaba,Steel,"36"" x 80""",Silver,https://dummyimage.com/494x579,161 minutes,5 years
PD-1114,Weather Stripping,Accessory,Commercial,Congress call although great second consider democratic.,640.1,107,ASSA ABLOY,Aluminum,"10' x 12""",Black,https://placekitten.com/261/1013,67 minutes,4 years
PD-1115,Panic Bar,Accessory,Commercial,Already data only between lose. Box deal store look. Successful eye indicate collection.,1005.01,43,Dormakaba,Glass,"40"" x 90""",Silver,https://dummyimage.com/837x640,78 minutes,2 years
PD-1116,Weather Stripping,Accessory,Overhead,Image culture girl town upon.,931.44,104,ASSA ABLOY,Glass,"10' x 12""",White,https://dummyimage.com/400x713,176 minutes,4 years
PD-1117,Steel Fire Door,Frame,Sliding,Station control focus. Game serve tend wall city memory draw.,1670.92,174,ASSA ABLOY,Glass,"36"" x 80""",Black,https://picsum.photos/140/347,70 minutes,5 years
PD-1118,Steel Fire Door,Frame,Sliding,Administration through try opportunity single. Air modern population reflect government exist.,1768.93,115,Dormakaba,Aluminum,"10' x 12""",Silver,https://placekitten.com/854/31,106 minutes,1 years
PD-1119,Aluminum Frame,Installation,Fire Rated,Better place coach beyond law kind. Because door admit heart he child film.,1022.01,183,Dormakaba,Steel,"10' x 12""",Silver,https://dummyimage.com/355x179,151 minutes,1 years
PD-1120,Hydraulic Door Closer,Accessory,Commercial,Game beyond above section explain. Security although often on season up spring.,987.4,113,ASSA ABLOY,Wood,"36"" x 80""",White,https://placekitten.com/161/638,119 minutes,1 years
PD-1121,Panic Bar,Door,Commercial,Seat sport trip person education. Their research realize term accept how economic.,696.89,200,ASSA ABLOY,Glass,"10' x 12""",Black,https://placekitten.com/388/99,176 minutes,1 years
PD-1122,Hydraulic Door Closer,Door,Overhead,Forward live service laugh admit. Professor simply take inside.,569.5,21,Dormakaba,Steel,"36"" x 80""",Silver,https://dummyimage.com/118x875,48 minutes,4 years
PD-1123,Hydraulic Door Closer,Frame,Commercial,Project part relate rise friend require up smile.,2375.44,109,ASSA ABLOY,Wood,"36"" x 80""",White,https://picsum.photos/171/629,173 minutes,1 years
PD-1124,Hydraulic Door Closer,Hardware,Fire Rated,Nothing research no indicate draw attack energy. Threat use during have set. News election detail.,734.38,127,Dormakaba,Glass,"10' x 12""",Black,https://dummyimage.com/710x745,31 minutes,3 years
PD-1125,Weather Stripping,Hardware,Sliding,True go become trip. Since season clear benefit run follow set onto.,733.98,55,ASSA ABLOY,Wood,"36"" x 80""",Black,https://picsum.photos/543/948,151 minutes,2 years
PD-1126,Weather Stripping,Frame,Fire Rated,Certainly product star answer point. Consider official contain provide.,744.08,94,ASSA ABLOY,Glass,"40"" x 90""",Silver,https://dummyimage.com/639x1020,52 minutes,3 years
PD-1127,Panic Bar,Hardware,Sliding,Popular perform country involve. Several officer according never rest enter upon.,395.14,45,Dormakaba,Wood,"10' x 12""",Silver,https://placekitten.com/543/643,60 minutes,1 years
PD-1128,Panic Bar,Frame,Overhead,Late size best guy question.,382.86,99,Dormakaba,Aluminum,"36"" x 80""",Silver,https://placekitten.com/441/819,115 minutes,3 years
PD-1129,Hydraulic Door Closer,Door,Sliding,Stop teach each defense wide. Democrat thought economy animal successful do spring.,1518.84,158,Dormakaba,Wood,"10' x 12""",Black,https://picsum.photos/284/981,87 minutes,1 years
PD-1130,Steel Fire Door,Accessory,Fire Rated,Young cup support manage assume be. Rate measure to drug stock as.,2609.3,133,ASSA ABLOY,Wood,"36"" x 80""",Silver,https://picsum.photos/578/931,141 minutes,5 years
PD-1131,Steel Fire Door,Installation,Overhead,Mr pretty by none. Individual large watch take. Security station everybody example claim area.,2116.91,85,Dormakaba,Aluminum,"10' x 12""",White,https://dummyimage.com/681x777,149 minutes,1 years
PD-1132,Hydraulic Door Closer,Installation,Overhead,Within science prevent approach that role. Politics color clear middle cause citizen.,2486.66,55,ASSA ABLOY,Wood,"40"" x 90""",Black,https://picsum.photos/889/920,153 minutes,1 years
PD-1133,Panic Bar,Hardware,Fire Rated,Stock together training mouth.,281.08,138,Dormakaba,Wood,"10' x 12""",Black,https://picsum.photos/964/89,82 minutes,3 years
PD-1134,Steel Fire Door,Installation,Sliding,Song gun unit reveal usually road. Statement PM general sea newspaper tax remember blue.,1831.53,75,ASSA ABLOY,Aluminum,"40"" x 90""",White,https://picsum.photos/365/748,94 minutes,1 years
PD-1135,Panic Bar,Hardware,Fire Rated,Pick three father someone. Individual trial team onto area baby.,1836.66,57,Dormakaba,Glass,"36"" x 80""",Silver,https://picsum.photos/394/246,95 minutes,3 years
